data,saldo_total,saldo_pj,saldo_pf,inad_total,inad_pj,inad_pf,taxa_total,taxa_pj,taxa_pf,selic_432,saldo_total_var12m,saldo_pf_var12m,saldo_pj_var12m,selic_432_lag1,selic_432_lag3,taxa_pf_lag1,taxa_pf_lag3,saldo_pf_var12m_lag1,saldo_pf_var12m_lag3,saldo_pj_var12m_lag1,saldo_pj_var12m_lag3,inad_pf_tplus3
2023-05-01,5446513.0,2137582.0,3308931.0,3.55,2.45,4.25,31.63,20.61,37.27,13.75,11.522077694450106,15.07476016028033,6.435476932146811,13.75,13.75,37.19,35.58,15.971549697757048,17.415415184409476,6.910270311381228,8.173430215362277,4.04
2023-06-01,5472241.0,2161384.0,3310857.0,3.51,2.5,4.18,30.84,19.62,36.58,13.75,10.287749267652678,13.605916958757325,5.564626455040922,13.75,13.75,37.27,36.19,15.07476016028033,16.805883346528304,6.435476932146811,7.856594413803086,3.92
2023-07-01,5477495.0,2145357.0,3332138.0,3.54,2.6,4.14,30.43,19.46,36.02,13.75,9.61036107516906,12.73905305824159,5.081009119219915,13.75,13.75,36.58,37.19,13.605916958757325,15.971549697757048,5.564626455040922,6.910270311381228,3.89
2023-08-01,5551565.0,2164354.0,3387211.0,3.51,2.69,4.04,29.91,19.14,35.37,13.28225806451613,9.525521229038937,12.535740413794748,5.124771534303485,13.75,13.75,36.02,37.27,12.73905305824159,15.07476016028033,5.081009119219915,6.435476932146811,3.79
2023-09-01,5616177.0,2204640.0,3411538.0,3.44,2.69,3.92,29.66,19.52,34.81,13.083333333333334,8.835661779810078,11.6518530106555,4.747375067764326,13.28225806451613,13.75,35.37,36.58,12.535740413794748,13.605916958757325,5.124771534303485,5.564626455040922,3.66
2023-10-01,5644764.0,2195088.0,3449675.0,3.46,2.79,3.89,29.24,19.52,34.17,12.75,8.31380117513394,10.871010798568248,4.525013571040826,13.083333333333334,13.75,34.81,36.02,11.6518530106555,12.73905305824159,4.747375067764326,5.081009119219915,3.67
2023-11-01,5702348.0,2211381.0,3490967.0,3.43,2.85,3.79,29.01,19.03,34.0,12.266666666666667,8.031752046074558,10.593051738142577,4.221344775126168,12.75,13.28225806451613,34.17,35.37,10.871010798568248,12.535740413794748,4.525013571040826,5.124771534303485,3.67
2023-12-01,5794196.0,2271990.0,3522206.0,3.18,2.45,3.66,28.13,18.09,33.2,11.959677419354838,8.140033807081636,10.49080520562573,4.687119142483387,12.266666666666667,13.083333333333334,34.0,34.81,10.593051738142577,11.6518530106555,4.221344775126168,4.747375067764326,3.62
2024-01-01,5784313.0,2223506.0,3560807.0,3.26,2.6,3.67,27.99,19.47,32.25,11.75,7.809282577740007,10.528323603251021,3.7230092326523856,11.959677419354838,12.75,33.2,34.17,10.49080520562573,10.871010798568248,4.687119142483387,4.525013571040826,3.66
2024-02-01,5802794.0,2221893.0,3580901.0,3.26,2.59,3.67,27.84,18.69,32.34,11.25,8.170751439655998,10.662046813101433,4.383471288699958,11.75,12.266666666666667,32.25,34.0,10.528323603251021,10.593051738142577,3.7230092326523856,4.221344775126168,3.69
2024-03-01,5899857.0,2285751.0,3614106.0,3.2,2.54,3.62,28.13,18.56,32.83,11.07258064516129,8.907180405978888,10.491762582361952,6.492411938512799,11.25,11.959677419354838,32.34,33.2,10.662046813101433,10.49080520562573,4.383471288699958,4.687119142483387,3.62
2024-04-01,5915624.0,2268846.0,3646778.0,3.24,2.58,3.66,27.86,18.22,32.59,10.75,9.16368950958104,11.101368881436313,6.186969146122068,11.07258064516129,11.75,32.83,32.25,10.491762582361952,10.528323603251021,6.492411938512799,3.7230092326523856,3.7
2024-05-01,5951817.0,2277001.0,3674815.0,3.26,2.56,3.69,27.74,17.89,32.52,10.564516129032258,9.277568969357098,11.05746840898163,6.52227610449565,10.75,11.25,32.59,32.34,11.101368881436313,10.662046813101433,6.186969146122068,4.383471288699958,3.74
